2023-12-20 15:51:00,803 DEBUG   SenderThread:22228 [sender.py:send_request():407] send_request: stop_status
2023-12-20 15:51:00,803 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: internal_messages
2023-12-20 15:51:01,651 INFO    Thread-17 :22228 [dir_watcher.py:_on_file_modified():288] file/dir modified: /root/dev/Merlion/wandb/run-20231220_155030-LSTMED-2023-12-13_15-25-56/files/output.log
2023-12-20 15:51:02,192 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:51:02,651 INFO    Thread-17 :22228 [dir_watcher.py:_on_file_modified():288] file/dir modified: /root/dev/Merlion/wandb/run-20231220_155030-LSTMED-2023-12-13_15-25-56/files/config.yaml
2023-12-20 15:51:03,652 INFO    Thread-17 :22228 [dir_watcher.py:_on_file_modified():288] file/dir modified: /root/dev/Merlion/wandb/run-20231220_155030-LSTMED-2023-12-13_15-25-56/files/output.log
2023-12-20 15:51:05,653 INFO    Thread-17 :22228 [dir_watcher.py:_on_file_modified():288] file/dir modified: /root/dev/Merlion/wandb/run-20231220_155030-LSTMED-2023-12-13_15-25-56/files/output.log
2023-12-20 15:51:07,423 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:51:12,425 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:51:15,799 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: stop_status
2023-12-20 15:51:15,799 DEBUG   SenderThread:22228 [sender.py:send_request():407] send_request: stop_status
2023-12-20 15:51:15,804 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: internal_messages
2023-12-20 15:51:17,891 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:51:22,894 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:51:27,894 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: status_report
2023-12-20 15:51:30,788 DEBUG   SystemMonitor:22228 [system_monitor.py:_start():172] Starting system metrics aggregation loop
2023-12-20 15:51:30,790 DEBUG   SenderThread:22228 [sender.py:send():380] send: stats
2023-12-20 15:51:30,799 DEBUG   HandlerThread:22228 [handler.py:handle_request():146] handle_request: stop_status
2023-12-20 15:51:30,799 DEBUG   SenderThread:22228 [sender.py:send_request():407] send_request: stop_status
