
 |                                        | 0.0% 0/30 | Loss 2870.5588 | F2: 0.06540697674418604 | Recall: 0.05625 | Precision: 0.1875
 |=                                       | 3.3% 1/30 | Loss 2847.6047 | F2: 0.06687743190661478 | Recall: 0.057291666666666664 | Precision: 0.20220588235294118
 |==                                      | 6.7% 2/30 | Loss 2832.9834 | F2: 0.06684491978609625 | Recall: 0.057291666666666664 | Precision: 0.20072992700729927
 |====                                    | 10.0% 3/30 | Loss 2816.0015 | F2: 0.06562955760816723 | Recall: 0.05625 | Precision: 0.19708029197080293
 |=====                                   | 13.3% 4/30 | Loss 2797.0442 | F2: 0.06554989075018208 | Recall: 0.05625 | Precision: 0.1935483870967742
 |======                                  | 16.7% 5/30 | Loss 2778.1248 | F2: 0.06761651774933591 | Recall: 0.058333333333333334 | Precision: 0.18604651162790697
 |========                                | 20.0% 6/30 | Loss 2761.5181 | F2: 0.06986268369067695 | Recall: 0.06041666666666667 | Precision: 0.1864951768488746
 |=========                               | 23.3% 7/30 | Loss 2745.9312 | F2: 0.07209805335255948 | Recall: 0.0625 | Precision: 0.18691588785046728
 |==========                              | 26.7% 8/30 | Loss 2726.4680 | F2: 0.07187350263536176 | Recall: 0.0625 | Precision: 0.17964071856287425
 |============                            | 30.0% 9/30 | Loss 2711.0249 | F2: 0.07194244604316548 | Recall: 0.0625 | Precision: 0.18181818181818182
 |=============                           | 33.3% 10/30 | Loss 2691.3015 | F2: 0.08208255159474673 | Recall: 0.07291666666666667 | Precision: 0.1650943396226415
 |==============                          | 36.7% 11/30 | Loss 2708.3625 | F2: 0.07728894173602853 | Recall: 0.06770833333333333 | Precision: 0.1780821917808219
 |================                        | 40.0% 12/30 | Loss 2686.0730 | F2: 0.07727056585829765 | Recall: 0.06770833333333333 | Precision: 0.17759562841530055
 |=================                       | 43.3% 13/30 | Loss 2664.2068 | F2: 0.08399440037330845 | Recall: 0.075 | Precision: 0.16143497757847533
 |==================                      | 46.7% 14/30 | Loss 2681.9495 | F2: 0.07209805335255948 | Recall: 0.0625 | Precision: 0.18691588785046728
 |====================                    | 50.0% 15/30 | Loss 2677.9939 | F2: 0.07510729613733905 | Recall: 0.065625 | Precision: 0.17796610169491525
 |=====================                   | 53.3% 16/30 | Loss 2657.4666 | F2: 0.07593735168485999 | Recall: 0.06666666666666667 | Precision: 0.1711229946524064
 |======================                  | 56.7% 17/30 | Loss 2633.1819 | F2: 0.10521701008329683 | Recall: 0.1 | Precision: 0.1329639889196676
 |========================                | 60.0% 18/30 | Loss 2615.6272 | F2: 0.09152542372881356 | Recall: 0.084375 | Precision: 0.13846153846153847
 |=========================               | 63.3% 19/30 | Loss 2612.9043 | F2: 0.09340535674094082 | Recall: 0.08645833333333333 | Precision: 0.13764510779436154
 |==========================              | 66.7% 20/30 | Loss 2602.4265 | F2: 0.09729367031983896 | Recall: 0.090625 | Precision: 0.13787638668779714
 |============================            | 70.0% 21/30 | Loss 2588.6646 | F2: 0.09951348960636887 | Recall: 0.09375 | Precision: 0.13196480938416422
 |=============================           | 73.3% 22/30 | Loss 2572.7510 | F2: 0.09955752212389381 | Recall: 0.09375 | Precision: 0.1323529411764706
 |==============================          | 76.7% 23/30 | Loss 2566.6362 | F2: 0.08379247015610651 | Recall: 0.07604166666666666 | Precision: 0.14147286821705427
 |================================        | 80.0% 24/30 | Loss 2571.6550 | F2: 0.08507702920211542 | Recall: 0.07708333333333334 | Precision: 0.14538310412573674
 |=================================       | 83.3% 25/30 | Loss 2551.7363 | F2: 0.09232154920063049 | Recall: 0.08541666666666667 | Precision: 0.13643926788685523
 |==================================      | 86.7% 26/30 | Loss 2533.0894 | F2: 0.08083140877598152 | Recall: 0.07291666666666667 | Precision: 0.14285714285714285
 |====================================    | 90.0% 27/30 | Loss 2571.0696 | F2: 0.09020324274948618 | Recall: 0.08229166666666667 | Precision: 0.14656771799628943
 |=====================================   | 93.3% 28/30 | Loss 2574.7800 | F2: 0.0980392156862745 | Recall: 0.09166666666666666 | Precision: 0.13580246913580246
 |======================================  | 96.7% 29/30 | Loss 2547.0022 | F2: 0.10162162162162161 | Recall: 0.09791666666666667 | Precision: 0.1197452229299363
